user_id,platform_id,video_id,session_id,sequence_id,key1,key2,key1_press,key1_release,key2_press,key2_release,HL,IL,PL,RL,valid,error_description,key1_timestamp,outlier,device_type
8d46f2f2b4385ddb9822fa37d9b3bd71,1,1,1,244,Key.alt,l,1735660132109.0,1735660132123.0,1735660132693.0,,14.0,,,,False,Missing key2 release,1735660132109.0,False,desktop
8d46f2f2b4385ddb9822fa37d9b3bd71,1,1,1,245,l,Key.alt,1735660132693.0,,1735660137152.0,1735660137338.0,,,,,False,Missing key1 release,1735660132693.0,False,desktop
8d46f2f2b4385ddb9822fa37d9b3bd71,3,2,2,242,Key.tab,Key.enter,1735660096035.0,1735660096146.0,1735660096180.0,,111.0,,,,False,Missing key2 release,1735660096035.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,1,1,1,0,Key.alt,Key.shift,1735660058660.0,,1735660192368.0,1735660192615.0,,,,,False,Missing key1 release,1735660058660.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,1,1,2,0,Key.alt,Key.shift,1735660089376.0,,1735660091064.0,1735660091335.0,,,,,False,Missing key1 release,1735660089376.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,1,2,1,17,Key.space,Key.alt,1735660047326.0,1735660047414.0,1735660047557.0,,88.0,,,,False,Missing key2 release,1735660047326.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,1,2,1,18,Key.alt,Key.ctrl,1735660047557.0,,1735660049686.0,1735660049950.0,,,,,False,Missing key1 release,1735660047557.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,1,2,2,19,Key.space,Key.alt,1735660016027.0,1735660016115.0,1735660016323.0,,88.0,,,,False,Missing key2 release,1735660016027.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,1,2,2,20,Key.alt,e,1735660016323.0,,1735660017539.0,1735660017627.0,,,,,False,Missing key1 release,1735660016323.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,1,3,1,0,Key.alt,Key.shift,1735660002312.0,,1735660089291.0,1735660089623.0,,,,,False,Missing key1 release,1735660002312.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,1,3,2,16,Key.space,Key.alt,1735660043487.0,1735660043607.0,1735660043743.0,,120.0,,,,False,Missing key2 release,1735660043487.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,1,3,2,17,Key.alt,e,1735660043743.0,,1735660044799.0,1735660044903.0,,,,,False,Missing key1 release,1735660043743.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,2,1,1,0,Key.alt,Key.shift,1735660010828.0,,1735660075547.0,1735660075923.0,,,,,False,Missing key1 release,1735660010828.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,2,1,2,0,Key.alt,Key.shift,1735660001755.0,,1735660038015.0,1735660038367.0,,,,,False,Missing key1 release,1735660001755.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,2,2,1,190,Key.tab,Key.alt,1735660143903.0,1735660143998.0,1735660155955.0,,95.0,,,,False,Missing key2 release,1735660143903.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,2,2,1,191,Key.alt,Key.space,1735660155955.0,,1735660190491.0,1735660190610.0,,,,,False,Missing key1 release,1735660155955.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,2,2,2,5,Key.space,Key.alt,1735660039204.0,1735660039300.0,1735660039267.0,,96.0,,,,False,Missing key2 release,1735660039204.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,2,2,2,6,Key.alt,Key.shift,1735660039267.0,,1735660041028.0,1735660041291.0,,,,,False,Missing key1 release,1735660039267.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,2,3,1,0,Key.alt,Key.shift,1735660003314.0,,1735660005946.0,1735660006250.0,,,,,False,Missing key1 release,1735660003314.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,2,3,2,0,Key.alt,Key.shift,1735660001432.0,,1735660140228.0,1735660141283.0,,,,,False,Missing key1 release,1735660001432.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,3,1,1,41,.,Key.alt,1735660036551.0,1735660036623.0,1735660036831.0,,72.0,,,,False,Missing key2 release,1735660036551.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,3,1,1,42,Key.alt,Key.space,1735660036831.0,,1735660053083.0,1735660053186.0,,,,,False,Missing key1 release,1735660036831.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,3,1,2,15,Key.space,Key.alt,1735660074635.0,1735660074747.0,1735660074915.0,,112.0,,,,False,Missing key2 release,1735660074635.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,3,1,2,16,Key.alt,i,1735660074915.0,,1735660076235.0,1735660076315.0,,,,,False,Missing key1 release,1735660074915.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,3,2,1,179,Key.space,Key.alt,1735660113750.0,1735660113838.0,1735660113903.0,,88.0,,,,False,Missing key2 release,1735660113750.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,3,2,1,180,Key.alt,o,1735660113903.0,,1735660115574.0,1735660115654.0,,,,,False,Missing key1 release,1735660113903.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,3,2,2,0,Key.alt,Key.shift,1735660000907.0,,1735660016880.0,1735660017054.0,,,,,False,Missing key1 release,1735660000907.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,3,3,1,0,Key.alt,Key.shift,1735660020388.0,,1735660021563.0,1735660022187.0,,,,,False,Missing key1 release,1735660020388.0,False,desktop
03ed26062301e1ac6bbf94f3c03a7e56,3,3,2,0,Key.alt,Key.shift,1735660002638.0,,1735660003902.0,1735660004734.0,,,,,False,Missing key1 release,1735660002638.0,False,desktop
